&parameters
gridpoints =    16
q0 =   1.3999999999999999E+00
shat =   7.9600000000000004E-01
s0   =   3.2399999999999998E-02
minor_r=   1.0000000000000000E+00
major_R=   1.0000000000000000E+00
trpeps =   1.7999999999999999E-01
beta =   1.0000000000000000E-03
edge_opt =   0.0000000000000000E+00
Lref =   0.0000000000000000E+00
Bref =   0.0000000000000000E+00
Cy =   1.3070630561178931E-01
Cxy =   1.0000000000000000E+00
magn_geometry = 'miller'

sign_Ip_CW =   1
sign_Bt_CW =   1
/
  9.9999999994220989E-01 -2.5417343132580790E+00  2.7143121680365820E-03  7.9730309745925032E+00  8.1204274647767125E+00  4.4414339216890340E+01  1.2298852202291977E+00  1.3598967480764828E+00  0.0000000000000000E+00 -7.8464449023749158E-05  9.4136002512425421E-01  8.2000001094260111E-01  0.0000000000000000E+00 -6.2764132495406137E-05 -9.9999993917887575E-01 -3.4868962496440326E-04
  9.9999999990996447E-01 -2.0792874815200197E+00  7.9329785818949494E-01  5.8010661560554571E+00  6.2898413310212060E+00  4.4016317994295200E+01  1.2155779380464071E+00  1.3068862363258982E+00  0.0000000000000000E+00 -7.1849576792427858E-02  9.6364993937796639E-01  8.2965136371146286E-01  0.0000000000000000E+00 -5.8149308788674872E-02 -9.4638131267154080E-01 -3.2305171547795020E-01
  9.9999999988405308E-01 -1.6388894394417648E+00  1.4633888589222532E+00  4.0663339683368172E+00  5.0184534100776732E+00  4.2672866386768845E+01  1.1748937705327500E+00  1.1433524751320552E+00  0.0000000000000000E+00 -1.3268487605679335E-01  1.0315438991271426E+00  8.5838049304707975E-01  0.0000000000000000E+00 -1.1110317387689847E-01 -7.8677503858172160E-01 -6.1723985483587684E-01
  1.0000000000847320E+00 -1.2392092677736737E+00  1.9109642530449122E+00  2.7766912657559484E+00  4.3001120808947357E+00  4.0092242356318138E+01  1.1140249801523745E+00  8.6397824681024282E-01  0.0000000000000000E+00 -1.7332507485696688E-01  1.1473477243584540E+00  9.0528122084953444E-01  0.0000000000000000E+00 -1.5306323160309060E-01 -5.2621543974710250E-01 -8.5035128671986238E-01
  1.0000000002656233E+00 -8.9271902676514303E-01  2.0678665419549769E+00  1.8832029896532043E+00  3.9904511091746997E+00  3.6171324787420502E+01  1.0422359278996876E+00  4.8109599148564636E-01  0.0000000000000000E+00 -1.8758477771675452E-01  1.3108495127972946E+00  9.6763685366437580E-01  0.0000000000000000E+00 -1.7706672967912118E-01 -1.7979525744401265E-01 -9.8370405390354287E-01
  1.0000000001568161E+00 -6.0379536383177002E-01  1.9101781580866586E+00  1.3063478309960250E+00  3.9068416361972140E+00  3.1301825933046459E+01  9.7045298204940234E-01  4.0495023696210553E-02  0.0000000000000000E+00 -1.7329385119148127E-01  1.5119447436820370E+00  1.0392114948625029E+00  0.0000000000000000E+00 -1.7567714318519195E-01  2.1784163814209628E-01 -9.7598412888314690E-01
  1.0000000000433138E+00 -3.6805318468613407E-01  1.4618628307891059E+00  9.6283807677269562E-01  3.9074596606737071E+00  2.6430891833361603E+01  9.0960152317591203E-01 -3.7822958224768888E-01  0.0000000000000000E+00 -1.3262765198192655E-01  1.7210066933400723E+00  1.1087337349767257E+00  0.0000000000000000E+00 -1.4344676643307341E-01  6.0407630543937429E-01 -7.9692648020097123E-01
  1.0000000000058644E+00 -1.7301293660245134E-01  7.9111900093074183E-01  7.8499564518226306E-01  3.9200911208773590E+00  2.2796430135634942E+01  8.6894313370629306E-01 -6.8112669788289404E-01  0.0000000000000000E+00 -7.1775817694798155E-02  1.8858285459686999E+00  1.1606120755996103E+00  0.0000000000000000E+00 -8.1263528661651582E-02  8.9228930888933089E-01 -4.5146404812163038E-01
  1.0000000000000000E+00 -1.2085283383590524E-16  5.7975592625036556E-16  7.3045399190367888E-01  3.9247446861878581E+00  2.1448001673990390E+01  8.5466601190387759E-01 -7.9188255690021625E-01  0.0000000000000000E+00 -2.0116878926276210E-16  1.9493599999999878E+00  1.1799999999999999E+00  0.0000000000000000E+00 -2.3188093458529411E-16  9.9999999999999967E-01 -1.2882274143672070E-15
  1.0000000000058642E+00  1.7301293660246111E-01 -7.9111900093068543E-01  7.8499564518226639E-01  3.9200911208773617E+00  2.2796430135634850E+01  8.6894313370629317E-01 -6.8112669788290692E-01  0.0000000000000000E+00  7.1775817694802180E-02  1.8858285459687234E+00  1.1606120755996101E+00  0.0000000000000000E+00  8.1263528661651638E-02  8.9228930888933100E-01  4.5146404812163077E-01
  1.0000000000433134E+00  3.6805318468613918E-01 -1.4618628307890735E+00  9.6283807677270028E-01  3.9074596606737160E+00  2.6430891833361535E+01  9.0960152317591225E-01 -3.7822958224769243E-01  0.0000000000000000E+00  1.3262765198192861E-01  1.7210066933400689E+00  1.1087337349767257E+00  0.0000000000000000E+00  1.4344676643307350E-01  6.0407630543937363E-01  7.9692648020097145E-01
