     istep       time        |phi|^2       |apar|^2       |bpar|^2
---------------------------------------------------------------------
         0   0.0000E+000   8.1263E-008   8.8905E-041   4.0177E-011
       100   1.0000E+000   6.2634E-007   2.0237E-009   5.5545E-011
       200   2.0000E+000   2.6292E-007   3.2063E-009   8.5708E-011
       300   3.0000E+000   1.3080E-007   1.7006E-009   8.2433E-011
       400   4.0000E+000   2.2416E-007   2.2541E-009   6.3799E-011
       500   5.0000E+000   3.0045E-007   1.6795E-009   4.6445E-011
       600   6.0000E+000   5.7094E-007   1.3672E-009   3.9267E-011
       700   7.0000E+000   8.3692E-007   1.8835E-009   4.6715E-011
       800   8.0000E+000   7.7337E-007   2.4158E-009   6.0918E-011
       900   9.0000E+000   6.7346E-007   3.3635E-009   7.6683E-011
      1000   1.0000E+001   5.3047E-007   4.4199E-009   9.4369E-011
      1100   1.1000E+001   4.6503E-007   4.7439E-009   1.1318E-010
      1200   1.2000E+001   5.8881E-007   5.0941E-009   1.3878E-010
      1300   1.3000E+001   8.1480E-007   5.7474E-009   1.8142E-010
      1400   1.4000E+001   1.1098E-006   7.0294E-009   2.5350E-010
      1500   1.5000E+001   1.4759E-006   9.5942E-009   3.6221E-010
      1600   1.6000E+001   1.8408E-006   1.3089E-008   4.9611E-010
      1700   1.7000E+001   2.2858E-006   1.6966E-008   6.3366E-010
      1800   1.8000E+001   2.9933E-006   2.1014E-008   7.6161E-010
      1900   1.9000E+001   4.0945E-006   2.5159E-008   8.8639E-010
      2000   2.0000E+001   5.6612E-006   3.0135E-008   1.0297E-009
      2100   2.1000E+001   7.5124E-006   3.7114E-008   1.2116E-009
      2200   2.2000E+001   9.3011E-006   4.6553E-008   1.4357E-009
      2300   2.3000E+001   1.0915E-005   5.8010E-008   1.6899E-009
      2400   2.4000E+001   1.2525E-005   7.1199E-008   1.9714E-009
      2500   2.5000E+001   1.4436E-005   8.5087E-008   2.2968E-009
      2600   2.6000E+001   1.6901E-005   1.0076E-007   2.7113E-009
      2700   2.7000E+001   1.9997E-005   1.1995E-007   3.2814E-009
      2800   2.8000E+001   2.3549E-005   1.4471E-007   4.0754E-009
      2900   2.9000E+001   2.7570E-005   1.7686E-007   5.1458E-009
      3000   3.0000E+001   3.2399E-005   2.1680E-007   6.5237E-009
      3100   3.1000E+001   3.8702E-005   2.6572E-007   8.2324E-009
      3200   3.2000E+001   4.7445E-005   3.2439E-007   1.0309E-008
      3300   3.3000E+001   5.9572E-005   3.9621E-007   1.2827E-008
      3400   3.4000E+001   7.5822E-005   4.8605E-007   1.5892E-008
      3500   3.5000E+001   9.6594E-005   5.9918E-007   1.9609E-008
      3600   3.6000E+001   1.2211E-004   7.4119E-007   2.4051E-008
      3700   3.7000E+001   1.5269E-004   9.1470E-007   2.9264E-008
      3800   3.8000E+001   1.8905E-004   1.1242E-006   3.5322E-008
      3900   3.9000E+001   2.3245E-004   1.3749E-006   4.2382E-008
      4000   4.0000E+001   2.8387E-004   1.6740E-006   5.0742E-008
      4100   4.1000E+001   3.4441E-004   2.0351E-006   6.0846E-008
      4200   4.2000E+001   4.1511E-004   2.4735E-006   7.3265E-008
      4300   4.3000E+001   4.9762E-004   3.0069E-006   8.8686E-008
      4400   4.4000E+001   5.9523E-004   3.6553E-006   1.0793E-007
      4500   4.5000E+001   7.1307E-004   4.4451E-006   1.3198E-007
      4600   4.6000E+001   8.5811E-004   5.4084E-006   1.6207E-007
      4700   4.7000E+001   1.0390E-003   6.5884E-006   1.9963E-007
      4800   4.8000E+001   1.2657E-003   8.0419E-006   2.4639E-007
      4900   4.9000E+001   1.5498E-003   9.8350E-006   3.0421E-007
      5000   5.0000E+001   1.9050E-003   1.2043E-005   3.7516E-007
      5100   5.1000E+001   2.3476E-003   1.4755E-005   4.6146E-007
      5200   5.2000E+001   2.8971E-003   1.8073E-005   5.6575E-007
      5300   5.3000E+001   3.5753E-003   2.2123E-005   6.9126E-007
      5400   5.4000E+001   4.4067E-003   2.7061E-005   8.4216E-007
      5500   5.5000E+001   5.4180E-003   3.3079E-005   1.0238E-006
      5600   5.6000E+001   6.6404E-003   4.0409E-005   1.2431E-006
      5700   5.7000E+001   8.1115E-003   4.9337E-005   1.5087E-006
      5800   5.8000E+001   9.8798E-003   6.0193E-005   1.8315E-006
      5900   5.9000E+001   1.2008E-002   7.3398E-005   2.2256E-006
      6000   6.0000E+001   1.4577E-002   8.9469E-005   2.7083E-006
      6100   6.1000E+001   1.7690E-002   1.0905E-004   3.3013E-006
      6200   6.2000E+001   2.1476E-002   1.3294E-004   4.0311E-006
      6300   6.3000E+001   2.6098E-002   1.6213E-004   4.9295E-006
      6400   6.4000E+001   3.1759E-002   1.9782E-004   6.0343E-006
      6500   6.5000E+001   3.8715E-002   2.4148E-004   7.3907E-006
      6600   6.6000E+001   4.7274E-002   2.9489E-004   9.0528E-006
      6700   6.7000E+001   5.7814E-002   3.6024E-004   1.1085E-005
      6800   6.8000E+001   7.0784E-002   4.4018E-004   1.3566E-005
      6900   6.9000E+001   8.6715E-002   5.3793E-004   1.6589E-005
      7000   7.0000E+001   1.0624E-001   6.5739E-004   2.0267E-005
      7100   7.1000E+001   1.3011E-001   8.0326E-004   2.4738E-005
      7200   7.2000E+001   1.5924E-001   9.8129E-004   3.0173E-005
      7300   7.3000E+001   1.9472E-001   1.1984E-003   3.6782E-005
      7400   7.4000E+001   2.3787E-001   1.4632E-003   4.4826E-005
      7500   7.5000E+001   2.9032E-001   1.7861E-003   5.4627E-005
      7600   7.6000E+001   3.5406E-001   2.1798E-003   6.6585E-005
      7700   7.7000E+001   4.3156E-001   2.6601E-003   8.1191E-005
      7800   7.8000E+001   5.2587E-001   3.2459E-003   9.9050E-005
      7900   7.9000E+001   6.4079E-001   3.9610E-003   1.2090E-004
      8000   8.0000E+001   7.8101E-001   4.8339E-003   1.4764E-004
      8100   8.1000E+001   9.5235E-001   5.8999E-003   1.8037E-004
      8200   8.2000E+001   1.1619E+000   7.2022E-003   2.2043E-004
      8300   8.3000E+001   1.4184E+000   8.7934E-003   2.6941E-004
      8400   8.4000E+001   1.7324E+000   1.0738E-002   3.2927E-004
      8500   8.5000E+001   2.1167E+000   1.3113E-002   4.0237E-004
      8600   8.6000E+001   2.5869E+000   1.6014E-002   4.9156E-004
      8700   8.7000E+001   3.1619E+000   1.9558E-002   6.0035E-004
      8800   8.8000E+001   3.8644E+000   2.3884E-002   7.3297E-004
      8900   8.9000E+001   4.7222E+000   2.9166E-002   8.9465E-004
      9000   9.0000E+001   5.7688E+000   3.5613E-002   1.0918E-003
      9100   9.1000E+001   7.0451E+000   4.3482E-002   1.3322E-003
      9200   9.2000E+001   8.6012E+000   5.3086E-002   1.6255E-003
      9300   9.3000E+001   1.0498E+001   6.4806E-002   1.9834E-003
